cat,probe,avg_probe_fs_0,avg_probe_fs_1,avg_probe_fs_2,avg_probe_fs_3,avg_probe_fs_4,avg_probe_fs_5,avg_probe_fs_6,avg_probe_fs_7,avg_probe_fs_8,avg_probe_fs_9
PLANTS,acorn,54.257767548906784,63.800756205819496,63.891172119020226,63.891172119020226,63.800756205819496,60.43070853197435,58.712806181160616,62.89659707381225,59.526549399967124,64.614499424626
TIMES,afternoon,78.622723775327,72.19799948704797,72.1082328802257,71.8389330597589,78.44319056168248,72.37753270069248,78.26365734803795,79.43062323672736,78.35342395486022,72.82636573480379
VEHICLES,airplane,76.94756554307116,79.08239700374531,79.08239700374531,80.65543071161049,79.8314606741573,78.89513108614233,77.86516853932584,76.76029962546816,77.32209737827715,77.97752808988764
ELECTRONICS,alarm,79.02415189166551,66.85048164177022,69.78919447159011,63.639536507050124,65.76155242216947,74.08906882591093,73.45386011447717,67.39494625157056,77.93522267206478,75.26874214714505
VEHICLES,ambulance,76.76029962546816,77.79026217228464,77.50936329588014,81.31086142322097,80.374531835206,80.2808988764045,77.22846441947566,77.86516853932584,76.02996254681648,81.12359550561798
INSECT,ant,67.11956521739131,64.13043478260869,71.64855072463769,62.86231884057971,67.3913043478261,62.68115942028986,66.39492753623189,61.59420289855072,66.93840579710144,72.10144927536233
FRUIT,apple,82.48071117074807,82.84971486078497,85.76819859107681,86.13720228111373,84.93794028849379,86.59845689365983,84.75343844347533,84.4179805434418,85.76819859107681,84.0489768534049
MONTHS,april,89.31159420289855,89.85507246376811,90.1268115942029,89.13043478260869,90.03623188405797,90.03623188405797,89.67391304347827,88.67753623188406,89.94565217391303,90.48913043478261
CLOTHING,apron,81.51001540832048,79.05324430748159,81.98082520116418,79.42989214175655,75.26964560862865,78.47971237801747,78.29138846088,80.08902585173772,79.52405410032529,77.8205786680363
BODY,arm,84.65226867446007,80.71527640182286,82.36774321379036,85.08817119080643,85.86685159500693,85.33188032494552,83.63384188626907,80.42401426590054,82.6590053497127,84.99108381216564
MAMMAL,armadillo,63.671023965141615,61.91721132897603,64.49891067538127,65.42483660130719,60.93681917211329,60.83877995642701,60.20697167755992,62.930283224400874,63.03921568627451,61.525054466230934
MONTHS,august,91.39492753623189,91.1231884057971,90.67028985507247,90.48913043478262,90.76086956521738,91.48550724637681,90.76086956521738,90.76086956521738,90.39855072463769,91.93840579710144
FAMILY,aunt,76.43413729128015,70.24860853432283,70.61966604823749,68.0630797773655,66.24860853432281,66.34137291280149,69.78478664192951,70.24860853432283,67.22820037105751,72.71243042671614
FRUIT,avocado,76.40053673264006,78.79906071787991,79.13451861791346,83.67997316336799,76.9540422676954,80.0570278430057,81.49949681314995,70.32036229453203,81.77624958067763,77.96880241529689
FAMILY,babe,53.08348794063079,55.640074211502785,56.990723562152134,56.1038961038961,55.3617810760668,52.71243042671614,51.599257884972175,57.083487940630796,51.547309833024116,51.8256029684601
BODY,back,52.97008123637805,60.257578759659204,54.18466415692491,60.21002575787596,53.35843075094115,54.37883891420646,54.57301367148801,57.24588864672082,52.62928472359818,55.058450564691896
HOUSEHOLD,backyard,69.28014842300556,69.46567717996291,71.74397031539888,66.35250463821892,73.23933209647495,72.4452690166976,72.72356215213358,72.81632653061226,75.37291280148423,70.30055658627089
MEAT,bacon,76.9927536231884,74.27536231884058,78.07971014492753,82.33695652173914,76.3586956521739,74.3659420289855,76.90217391304348,81.70289855072464,81.43115942028986,74.09420289855072
TOYS,ball,74.712689865788,68.93032226954914,74.6202684240135,75.17479707466046,69.53307080286105,77.25628867636422,73.97331833159207,69.44064936108656,74.98995419111148,73.0008840311822
TOYS,balloon,65.18122639234912,66.01301936831953,64.48605641726272,63.746684883066784,66.52334645985695,65.18122639234912,64.20879209193924,65.18122639234912,66.56754801896649,63.839106324841275
FRUIT,banana,86.84166387118417,88.13317678631331,83.3109694733311,88.59443139885946,84.84568936598457,90.12915129151291,85.49144582354916,87.3029184837303,88.13317678631331,86.32170412613218
INSTRUMENTS,banjo,81.16883116883116,81.80174256123622,82.34423804044057,78.34127897419036,76.80420844977806,80.26467203682394,84.62929475587704,85.53345388788426,84.81012658227849,79.2454381061976
SPORTS,baseball,91.41323792486583,92.128801431127,91.23434704830053,91.68157423971377,92.128801431127,91.50268336314849,90.87656529516994,90.87656529516994,90.96601073345259,93.02325581395348
HOUSEHOLD,basement,75.74397031539888,74.57884972170686,79.92949907235621,74.67161410018552,69.00185528756957,75.37291280148423,77.65120593692022,73.74397031539888,73.74397031539888,75.5064935064935
SPORTS,basketball,92.4865831842576,93.20214669051879,92.84436493738819,92.93381037567083,91.94991055456173,92.57602862254025,91.05545617173524,92.4865831842576,92.75491949910555,93.29159212880143
TOYS,bat,56.30073133488709,62.12730049023547,60.32307321385518,59.95338744675721,57.594631519729965,60.7409788636181,61.29550751426505,55.23587559270273,59.86096600498272,58.33400305392591
HOUSEHOLD,bathroom,77.83673469387755,80.06307977736549,76.02226345083488,77.65120593692022,79.55844155844156,78.30055658627086,76.85714285714286,78.85714285714285,76.02226345083488,75.59925788497218
BATHROOM,bathtub,74.76979742173113,61.036569323862146,73.0334122599316,66.62720336753486,66.07471717968956,72.75716916600894,65.7984740857669,69.00815574848724,65.6143120231518,67.71902131018153
ELECTRONICS,battery,61.69900879519754,61.69900879519754,57.12690213597655,61.426776490297364,59.88412676252967,60.42859137233003,60.79156777886361,59.4304062543627,60.79156777886361,62.3342175066313
MAMMAL,bear,76.66666666666666,73.84531590413943,69.8474945533769,73.55119825708061,73.25708061002179,73.25708061002179,75.30501089324619,78.08278867102396,72.23311546840958,73.60566448801742
BODY,beard,73.62393501089757,75.85892609470972,77.07350901525659,76.19972260748959,77.60848028531801,76.87933425797505,71.87636219536357,75.90846047156728,74.35308103824055,74.98513968694273
MAMMAL,beaver,59.56427015250545,62.00435729847494,61.514161220043576,61.66666666666667,61.47058823529412,60.250544662309366,63.267973856209146,60.152505446623096,60.588235294117645,59.32461873638344
FURNITURE,bed,69.8987382464036,70.73053122237403,68.83388250421923,70.26842401350157,70.08358112995259,72.44233705697982,61.94245760668649,66.19786225186853,70.17600257172707,67.21449811138794
HOUSEHOLD,bedroom,76.1669758812616,75.65120593692023,76.39332096474953,74.67161410018552,77.46567717996288,79.28014842300557,73.65120593692023,77.46567717996288,77.1873840445269,77.13543599257886
INSECT,bee,76.08695652173914,84.05797101449275,83.96739130434783,75.45289855072464,79.71014492753623,88.31521739130434,83.60507246376811,83.33333333333334,79.61956521739131,79.43840579710144
MEAT,beef,75.36231884057972,76.81159420289856,71.55797101449275,79.34782608695652,78.98550724637681,75.81521739130434,74.45652173913044,80.43478260869566,79.71014492753623,76.53985507246377
DRINK,beer,85.14492753623189,85.5072463768116,85.14492753623189,81.43115942028986,84.8731884057971,85.77898550724638,85.77898550724638,85.86956521739131,81.25,86.41304347826086
BODY,behind,49.71468198930057,51.07390529027145,49.56806023380226,49.762234991083815,49.179710719239154,50.97681791163067,49.373885476520705,50.879730532989896,49.22726372102239,50.53893402021002
INSTRUMENTS,bell,59.59230642774946,63.956929146802565,73.77116554331744,59.95397008055237,68.59279960545783,59.86355416735163,70.69702449449284,68.14072003945422,60.04438599375308,61.58145651816538
BODY,belly,80.03566475133744,77.3627897761046,80.03566475133744,78.4802853180107,77.80067366752526,78.0919358034476,80.13275212997821,80.71527640182286,78.4802853180107,78.0919358034476
CLOTHING,belt,77.3240883410375,77.51241225817498,75.71477486731723,79.68669748330765,81.68121896935456,82.246190720767,77.04160246533128,76.75911658962507,76.65639445300462,77.59801403869201
FURNITURE,bench,73.8286586835972,76.37225749417343,73.04106726673632,78.73101342120069,77.62195611990677,75.26320019287954,66.290283693643,76.37225749417343,76.37225749417343,74.84529454311661
FRUIT,berry,78.7319691378732,79.89768534048977,77.2559543777256,77.34820530023482,77.90171083529017,80.26668903052668,77.44045622274405,79.65447836296545,77.34820530023482,77.01274740020128
CLOTHING,bib,74.22530388632083,75.16692347200822,76.5964732066427,72.99263824687554,74.4136278034583,78.00890258517377,68.54990583804144,77.72641670946756,70.15065913370998,74.4050676254066
VEHICLES,bicycle,75.14981273408239,81.19850187265918,79.70037453183521,79.04494382022472,77.75280898876404,77.47191011235955,78.29588014981273,76.17977528089888,71.17977528089887,76.83520599250936
VEHICLES,bike,76.76029962546816,77.04119850187266,75.374531835206,74.17602996254682,77.67790262172285,77.95880149812734,77.58426966292134,81.57303370786518,79.81273408239701,82.79026217228464
BIRD,bird,87.75091240875912,86.47354014598541,87.02098540145985,88.20711678832116,90.69343065693431,84.62591240875912,87.38594890510949,87.20346715328466,87.20346715328466,84.89963503649636
FURNITURE,blanket,72.25749417343084,70.63810978059954,68.1869324117978,72.71960138230331,67.44756087760186,69.25178815398216,67.44756087760186,68.97452382865869,70.26842401350157,71.56232419834446
TOYS,block,59.12159447078679,56.52977577754561,56.067668568673156,62.40456481555895,59.86096600498272,56.25251145222213,54.86618982560476,58.05673872860242,57.779474403278954,61.43213051514908
BODY,blood,68.03645730136715,68.95779671091738,68.03447592629284,67.11115514166832,68.81315633049337,63.46740638002773,68.0840103031504,65.89657222112146,68.66653457499505,70.56072914602734
CLOTHING,blouse,70.72419106317412,69.86817325800376,69.97089539462421,73.47200821777093,73.48056839582263,71.6743708269132,70.81835302174285,69.30320150659132,71.39188495120699,72.05101866118815
FRUIT,blueberry,86.17074807111707,83.89802079838981,87.61321704126132,85.98624622609863,83.80576987588057,85.98624622609863,86.07849714860785,86.44750083864476,85.61724253606174,83.62126803086213
VEHICLES,boat,84.53183520599251,85.2621722846442,81.66666666666667,87.95880149812734,83.50187265917603,84.06367041198502,82.30337078651687,84.43820224719101,83.68913857677902,80.74906367041199
BODY,body,73.0394293639786,73.57241925896571,73.91321577174558,74.44818704180702,74.10739052902716,74.83653655637012,77.75312066574203,76.14820685555776,74.10739052902716,75.17535169407569
MEAT,bologna,75.81521739130434,80.07246376811594,71.55797101449275,74.63768115942028,75.36231884057972,76.72101449275362,78.98550724637681,80.70652173913044,79.16666666666667,76.44927536231884
BODY,bone,59.19159896968497,65.89657222112146,63.32078462452942,61.81493956806023,63.27323162274618,60.60035664751338,62.3974638399049,62.011095700416085,61.27996829799881,60.647909649296615
TOYS,book,58.47464437836535,58.9367515872378,59.12159447078679,59.12159447078679,58.19738005304187,58.56706582013984,60.278871654745636,62.73004902354737,60.556135980069115,61.66519328136302
FURNITURE,bookcase,76.1432130515149,82.43188941573575,82.66495218194969,71.42570119746041,79.1489190709636,74.15414289158562,75.034155750221,80.21377481314795,72.25749417343084,76.51289881861287
CLOTHING,boot,75.04708097928436,66.33281972265024,75.32956685499059,78.8306796781373,73.81441533983907,75.6120527306968,77.70073617531244,75.23540489642184,72.20510186611881,71.81989385379217
BODY,bottom,66.67327125024767,63.612046760451754,65.50822270655836,62.93243510996631,67.93738854765208,63.079056865464636,67.93738854765208,66.819893005746,66.43154349118288,66.5761838716069
KITCHEN,bowl,82.01800208952825,84.74644378365346,86.82793538535722,85.90372096761232,85.9961424093868,84.93128666720244,84.65402234187897,84.46917945832998,84.83886522542795,85.57823675962388
FAMILY,boy,60.72356215213358,61.74397031539889,59.558441558441565,61.74397031539889,59.92949907235621,61.18738404452691,63.372912801484226,59.372912801484226,61.65120593692022,60.39332096474954
BODY,brain,72.70457697642163,73.52882900733108,70.9054884089558,71.72974043986527,66.62968099861304,71.34337230037646,71.09966316623738,66.97047751139291,70.85595403209828,74.0618189023182
VEGETABLE,broccoli,87.55919854280509,87.92349726775956,88.92531876138435,84.04371584699454,87.28597449908926,87.0127504553734,87.37704918032787,87.74134790528232,87.65027322404372,82.80510018214937
TOOLS,broom,67.47680890538032,65.66233766233766,64.49721706864564,68.96103896103895,67.51762523191096,67.66233766233766,60.5491651205937,65.47680890538034,66.03339517625233,62.68274582560297
FAMILY,brother,77.7847866419295,75.7847866419295,81.17625231910945,78.24860853432283,80.61966604823748,74.52690166975881,78.43413729128015,76.06307977736549,74.99072356215213,79.36178107606679
BATHROOM,brush,65.7984740857669,67.62694027887399,72.75716916600894,70.74454091028677,72.20468297816365,74.76979742173113,70.28413575374901,68.9950013154433,72.38884504077873,73.67797947908446
MAMMAL,buck,61.31808278867103,60.16339869281045,57.766884531590414,60.20697167755992,59.226579520697165,63.52941176470588,63.08278867102397,58.15904139433552,63.12636165577342,58.071895424836605
CLOTHING,buckle,65.57096387604861,61.59048108200651,61.78736517719569,61.11967128916282,63.49084060948468,62.54066084574559,64.0472521828454,62.91730868002055,64.90326998801575,60.357815442561204
MAMMAL,buffalo,67.72331154684096,68.85620915032679,67.8322440087146,67.14596949891067,60.708061002178646,71.33986928104575,67.96296296296296,66.79738562091504,69.19389978213508,63.006535947712415
INSECT,bug,72.91666666666666,68.29710144927536,73.6413043478261,77.44565217391303,81.25,73.09782608695652,77.17391304347827,77.6268115942029,72.73550724637681,78.17028985507247
MAMMAL,bull,75.92592592592592,68.47494553376906,71.9281045751634,73.24618736383442,71.05664488017429,71.6884531590414,76.51416122004358,77.0479302832244,74.90196078431373,68.43137254901961
VEHICLES,bulldozer,69.21348314606742,73.68913857677903,67.20973782771536,70.91760299625469,70.16853932584269,72.39700374531834,69.51310861423221,72.02247191011236,70.6367041198502,69.71910112359551
MAMMAL,bunny,72.37472766884532,71.35076252723312,71.25272331154684,69.54248366013071,70.66448801742919,69.20479302832244,70.46840958605665,69.64052287581698,69.400871459695,71.01307189542484
VEHICLES,bus,79.9250936329588,80.48689138576779,82.71535580524345,81.40449438202248,84.64419475655431,80.20599250936328,80.65543071161049,79.9250936329588,77.79026217228464,84.66292134831461
PLANTS,bush,68.59279960545783,68.59279960545783,68.32155186585567,60.22521782015453,67.86947229985205,63.414433667598225,73.49991780371528,73.9519973697189,64.31859279960545,60.49646555975669
INSECT,butterfly,81.15942028985508,81.34057971014492,82.69927536231884,82.69927536231884,85.77898550724638,82.51811594202898,80.79710144927536,86.41304347826086,82.06521739130434,82.69927536231884
VEGETABLE,cabbage,85.33697632058288,85.97449908925319,81.91256830601093,81.54826958105646,84.79052823315118,82.9143897996357,84.97267759562841,85.97449908925319,85.51912568306011,86.88524590163935
FURNITURE,cabinet,61.20308607249056,64.11637065016475,71.100216989472,62.95909346620589,65.64333360122157,63.05151490798039,59.95338744675721,64.8557421843607,66.56754801896649,59.99758900586676
VEHICLES,caboose,76.92883895131087,74.6067415730337,78.22097378277152,78.03370786516854,76.08614232209739,77.94007490636704,70.14981273408239,77.58426966292134,75.3558052434457,77.02247191011236
DESSERT,cake,89.07103825136612,89.98178506375227,85.64663023679418,89.16211293260474,89.16211293260474,86.83060109289617,89.43533697632058,89.07103825136612,89.16211293260474,91.34790528233151
MAMMAL,camel,72.4727668845316,72.37472766884532,71.54684095860566,72.23311546840958,71.11111111111111,71.36165577342048,69.06318082788671,67.89760348583877,70.47930283224402,70.6318082788671
ELECTRONICS,camera,76.81139187491274,77.17436828144632,73.69119084182604,65.81739494625157,80.83903392433338,73.87267904509284,73.1467262320257,73.69119084182604,73.96342314672624,70.29875750383917
FURNITURE,candle,61.89825604757695,59.58370167965925,64.99638350880012,58.10495861126738,55.23587559270273,56.48557421843607,60.88162018805754,61.480350397814036,57.827694285943906,59.49128023788476
DESSERT,candy,80.20036429872495,76.775956284153,75.95628415300546,75.40983606557377,76.59380692167576,75.86520947176685,78.92531876138433,83.0783242258652,82.80510018214937,76.86703096539162
CLOTHING,cap,79.48981338811846,79.301489470981,82.04930662557781,79.11316555384353,79.77229926382469,82.5201164184215,77.51241225817498,80.62831706899503,76.3653483992467,77.49529190207156
CLOTHING,cape,51.84043828111625,50.04280089025852,58.183530217428526,57.43023454887862,54.588255435713066,61.21383324773155,53.74079780859442,55.9150830337271,59.98972778633795,54.77657935285054
VEHICLES,car,85.59925093632958,86.53558052434457,79.68164794007491,86.91011235955057,87.17228464419475,86.81647940074906,86.91011235955057,84.11985018726593,85.50561797752809,86.55430711610487
