cat,probe,avg_probe_fs_0,avg_probe_fs_1,avg_probe_fs_2,avg_probe_fs_3,avg_probe_fs_4,avg_probe_fs_5,avg_probe_fs_6,avg_probe_fs_7,avg_probe_fs_8,avg_probe_fs_9
ADVERB,actually,65.0,64.99999999999999,61.07142857142858,63.92857142857142,59.64285714285714,58.21428571428571,67.5,56.785714285714285,59.285714285714285,62.857142857142854
VERB,add,62.291666666666664,63.125,61.458333333333336,58.958333333333336,64.58333333333334,59.375,61.25000000000001,65.0,60.20833333333333,60.62499999999999
ADJECTIVE,afraid,60.36363636363637,64.90909090909092,69.25874125874127,70.1118881118881,62.30769230769231,60.20979020979021,62.111888111888106,67.41258741258741,62.51748251748251,61.76223776223776
ADVERB,again,63.92857142857142,70.0,65.35714285714286,65.0,65.71428571428571,66.07142857142858,67.14285714285715,68.57142857142857,64.64285714285714,65.35714285714286
ADVERB,ahead,57.857142857142854,59.64285714285714,62.142857142857146,63.92857142857142,61.07142857142856,61.07142857142856,64.28571428571428,57.857142857142854,55.35714285714286,62.142857142857146
NOUN,airplane,59.06362545018007,59.363745498199286,59.84393757503001,59.183673469387756,57.14285714285714,59.9639855942377,59.5438175270108,55.40216086434574,59.183673469387756,59.12364945978391
ADJECTIVE,alive,66.01398601398601,64.1118881118881,61.16083916083917,68.5174825174825,62.46153846153846,65.41258741258741,61.56643356643357,62.36363636363637,65.11888111888112,61.66433566433567
ADVERB,almost,65.71428571428571,66.42857142857143,65.35714285714286,68.92857142857143,65.0,64.64285714285715,69.28571428571428,62.5,71.07142857142857,65.71428571428571
ADVERB,alone,53.214285714285715,50.71428571428571,56.42857142857143,52.5,53.214285714285715,51.07142857142857,51.78571428571428,52.5,58.21428571428571,52.142857142857146
ADVERB,already,62.857142857142854,67.14285714285715,64.64285714285715,70.35714285714285,67.85714285714286,58.57142857142858,67.14285714285715,60.35714285714286,67.5,66.78571428571428
ADVERB,alright,64.28571428571428,63.21428571428571,66.78571428571429,66.42857142857143,65.35714285714286,61.78571428571429,65.0,59.64285714285714,60.0,67.85714285714286
ADVERB,always,62.857142857142854,64.64285714285714,60.0,62.142857142857146,60.357142857142854,57.857142857142854,64.28571428571428,62.5,62.142857142857146,59.64285714285714
ADJECTIVE,angry,64.01398601398603,67.5104895104895,66.46153846153847,67.56643356643357,70.81118881118881,64.46153846153845,65.76223776223776,59.31468531468531,66.06993006993007,66.46153846153847
PRONOUN,anybody,76.64589014413711,72.75029216984808,76.68484612388002,78.2236073237242,76.68484612388002,75.02921698480716,74.6980911569926,80.58044409816907,77.56135566809506,74.36696532917804
ADVERB,anymore,60.357142857142854,60.0,57.14285714285714,62.5,58.57142857142858,56.785714285714285,61.78571428571429,53.57142857142857,62.5,60.71428571428572
ADVERB,anyway,67.14285714285715,63.21428571428571,67.85714285714286,76.07142857142857,70.71428571428572,72.85714285714286,68.57142857142857,68.92857142857143,71.78571428571429,71.78571428571429
ADVERB,apart,50.0,48.214285714285715,53.92857142857142,51.42857142857142,49.28571428571429,50.357142857142854,46.07142857142858,45.357142857142854,47.857142857142854,52.142857142857146
NOUN,apple,66.14645858343337,63.50540216086434,59.42376950780313,69.56782713085235,62.12484993997599,60.024009603841534,68.60744297719089,65.78631452581033,70.16806722689076,65.3061224489796
ADVERB,awhile,59.285714285714285,58.57142857142858,63.57142857142857,63.57142857142857,56.785714285714285,62.142857142857146,63.57142857142857,62.5,66.78571428571429,59.64285714285714
NOUN,babe,56.78271308523409,49.459783913565424,59.5438175270108,47.418967587034814,49.33973589435774,54.38175270108043,53.96158463385354,55.162064825930365,53.721488595438174,46.15846338535414
ADJECTIVE,beautiful,60.909090909090914,62.405594405594414,63.1048951048951,59.76223776223776,60.40559440559441,61.7062937062937,60.65734265734266,60.55944055944056,59.76223776223776,63.608391608391614
VERB,believe,60.0,61.45833333333333,61.45833333333333,61.66666666666667,64.375,59.375,60.20833333333333,63.12500000000001,66.875,61.66666666666667
VERB,belong,60.41666666666667,60.0,61.04166666666666,64.79166666666667,54.79166666666667,63.125,62.291666666666664,59.166666666666664,62.708333333333336,57.49999999999999
ADJECTIVE,bigger,66.90909090909092,69.006993006993,67.35664335664336,64.7132867132867,66.3076923076923,67.6083916083916,63.608391608391614,65.5104895104895,64.36363636363637,61.510489510489506
ADJECTIVE,biggest,50.81118881118881,61.00699300699301,58.30769230769231,57.314685314685306,57.006993006993014,56.55944055944055,50.46153846153847,57.51048951048951,51.31468531468531,57.51048951048951
NOUN,bird,55.6422569027611,62.90516206482594,60.444177671068424,61.104441776710686,59.84393757503001,56.72268907563025,57.863145258103245,62.424969987995205,58.82352941176471,61.40456182472989
VERB,brought,64.375,64.58333333333334,65.83333333333333,70.41666666666666,65.41666666666667,63.95833333333333,63.74999999999999,65.0,65.83333333333333,62.291666666666664
NOUN,bunny,59.603841536614645,61.88475390156063,61.7046818727491,61.52460984393757,59.183673469387756,60.624249699879954,58.9435774309724,63.08523409363745,62.30492196878752,61.224489795918366
NOUN,camera,63.4453781512605,60.56422569027611,64.28571428571428,63.7454981992797,62.064825930372145,62.845138055222094,61.34453781512605,60.324129651860744,63.565426170468186,64.8859543817527
NOUN,car,61.824729891956785,61.58463385354141,63.62545018007203,61.16446578631452,59.06362545018007,60.324129651860744,61.104441776710686,63.32533013205281,62.72509003601441,60.68427370948379
ADJECTIVE,careful,59.76223776223776,58.46153846153847,60.20979020979021,61.56643356643357,61.86013986013986,64.55944055944056,57.06293706293706,60.11188811188811,60.769230769230774,54.36363636363637
